Precursor	logFC	mean_cancer	mean_normal	ttest_pvalue	BH.adjusted_pvalues	Precursor.ID	miRNA.ID	miRNA.name
hsa-mir-592	3.03	3.49	0.47	4.83283071460131e-70	2.5710659401679e-67	MI0003604	MIMAT0003260	hsa-miR-592
hsa-mir-183	3.3	15.62	12.32	8.12134097415684e-50	2.16027669912572e-47	MI0000273	MIMAT0004560	hsa-miR-183-3p
hsa-mir-183	3.3	15.62	12.32	8.12134097415684e-50	2.16027669912572e-47	MI0000273	MIMAT0000261	hsa-miR-183-5p
hsa-mir-139	-2.9	7.26	10.16	6.67638647539169e-45	1.18394586830279e-42	MI0000261	MIMAT0000250	hsa-miR-139-5p
hsa-mir-139	-2.9	7.26	10.16	6.67638647539169e-45	1.18394586830279e-42	MI0000261	MIMAT0004552	hsa-miR-139-3p
hsa-mir-96	3.44	6.92	3.47	9.94591559272454e-45	1.32280677383236e-42	MI0000098	MIMAT0004510	hsa-miR-96-3p
hsa-mir-96	3.44	6.92	3.47	9.94591559272454e-45	1.32280677383236e-42	MI0000098	MIMAT0000095	hsa-miR-96-5p
hsa-mir-549a	0.46	0.48	0.02	1.48523654955105e-41	1.58029168872231e-39	MI0003679	MIMAT0037328	hsa-miR-549a-5p
hsa-mir-549a	0.46	0.48	0.02	1.48523654955105e-41	1.58029168872231e-39	MI0003679	MIMAT0003333	hsa-miR-549a-3p
hsa-mir-7-3	1.1	1.32	0.22	3.46451321372398e-41	3.07186838283527e-39	MI0000265	MIMAT0000252_1	hsa-miR-7-5p
hsa-mir-182	2.71	17.09	14.38	9.50927636744724e-41	7.22705003925991e-39	MI0000272	MIMAT0000259	hsa-miR-182-5p
hsa-mir-182	2.71	17.09	14.38	9.50927636744724e-41	7.22705003925991e-39	MI0000272	MIMAT0000260	hsa-miR-182-3p
hsa-mir-190b	3.04	5.17	2.13	2.08136410193607e-40	1.38410712778749e-38	MI0005545	MIMAT0004929	hsa-miR-190b-5p
hsa-mir-190b	3.04	5.17	2.13	2.08136410193607e-40	1.38410712778749e-38	MI0005545	MIMAT0037332	hsa-miR-190b-3p
hsa-mir-21	2.66	19.73	17.07	4.66371436923725e-40	2.75677338270469e-38	MI0000077	MIMAT0000076	hsa-miR-21-5p
hsa-mir-21	2.66	19.73	17.07	4.66371436923725e-40	2.75677338270469e-38	MI0000077	MIMAT0004494	hsa-miR-21-3p
hsa-mir-3662	1.01	1.19	0.19	5.6618940704788e-40	3.01212764549472e-38	MI0016063	MIMAT0018083	hsa-miR-3662
hsa-mir-449a	1.89	2.31	0.43	1.12335959483192e-39	5.43297549500529e-38	MI0001648	MIMAT0001541	hsa-miR-449a
hsa-mir-204	-2.95	3.06	6.01	1.35472362141701e-39	6.00594138828208e-38	MI0000284	MIMAT0000265	hsa-miR-204-5p
hsa-mir-204	-2.95	3.06	6.01	1.35472362141701e-39	6.00594138828208e-38	MI0000284	MIMAT0022693	hsa-miR-204-3p
hsa-mir-1247	-2.22	6.01	8.23	1.10175401011805e-37	4.50871641063695e-36	MI0006382	MIMAT0005899	hsa-miR-1247-5p
hsa-mir-1247	-2.22	6.01	8.23	1.10175401011805e-37	4.50871641063695e-36	MI0006382	MIMAT0022721	hsa-miR-1247-3p
hsa-mir-3610	1.57	2.15	0.58	2.43533942702594e-37	9.25428982269856e-36	MI0016000	MIMAT0017987	hsa-miR-3610
hsa-mir-10b	-1.77	17.77	19.54	1.73902170445958e-35	6.16773031181665e-34	MI0000267	MIMAT0000254	hsa-miR-10b-5p
hsa-mir-10b	-1.77	17.77	19.54	1.73902170445958e-35	6.16773031181665e-34	MI0000267	MIMAT0004556	hsa-miR-10b-3p
hsa-mir-184	2.77	4.98	2.2	2.26709446253782e-33	7.53808908793826e-32	MI0000481	MIMAT0000454	hsa-miR-184
hsa-mir-196a-1	2.77	10.18	7.41	1.18374405557051e-32	3.70442257390301e-31	MI0000238	MIMAT0000226_1	hsa-miR-196a-5p
